id,manufacturer,model,model_year,variant,segment,seats,price_local,currency,range_km,range_rating,battery_capacity_kwh,battery_chemistry,efficiency_wh_km,fast_charge_kw,charge_10_80_min,drivetrain,power_kw,torque_nm,acceleration_0_100_s,top_speed_kmh,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,cargo_volume_l,frunk_volume_l,towing_capacity_kg,curb_weight_kg,onboard_charger_kw,charge_port_type,v2l_capable,plug_and_charge,range_city_km,range_highway_km
acura-zdx-awd-2026,Acura,ZDX,2026,AWD,suv,5,72500,CAD,432,epa,102,nmc,236,197,35,awd,284,,,210,4947,1930,1718,2999,,,,2400,2266,11.5,nacs,false,false,,
acura-rsx-awd-2026,Acura,RSX,2026,AWD,crossover,5,62000,CAD,420,epa,83,nmc,198,150,,awd,200,,7.0,180,,,,,,,,,1980,11.5,nacs,true,false,,
audi-q4-etron-45-rwd-2026,Audi,Q4 e-tron,2026,45 e-tron RWD,crossover,5,63440,CAD,463,epa,82,nmc,177,175,28,rwd,210,310,6.7,160,4588,1865,1632,2764,180,520,,1000,2045,11,ccs,false,false,,
audi-q4-etron-55-awd-2026,Audi,Q4 e-tron,2026,55 e-tron quattro AWD,crossover,5,75600,CAD,404,epa,82,nmc,203,175,28,awd,250,679,5.4,180,4588,1865,1632,2764,180,520,,1200,2175,11,ccs,false,false,,
audi-s-etron-gt-2026,Audi,S e-tron GT,2026,AWD,sedan,4,132000,CAD,483,epa,93.4,nmc,193,320,18,awd,500,740,3.4,250,4963,1964,1396,2900,,405,81,,2340,11,ccs,false,true,,
audi-rs-etron-gt-performance-2026,Audi,RS e-tron GT,2026,Performance AWD,sedan,4,185000,CAD,448,epa,93.4,nmc,209,320,18,awd,630,830,2.5,250,4963,1964,1396,2900,,405,81,,2380,11,ccs,false,true,,
bmw-i4-edrive40-2026,BMW,i4,2026,eDrive40,sedan,5,73900,CAD,495,epa,83.9,nmc,170,205,28,rwd,250,430,5.6,190,4783,1852,1448,2856,,470,,,2125,11,nacs,false,false,,
bmw-i4-m50-2026,BMW,i4,2026,M50 xDrive,sedan,5,97900,CAD,447,epa,83.9,nmc,188,205,31,awd,400,795,3.9,225,4783,1852,1448,2856,,470,,,2290,11,nacs,false,false,,
bmw-i5-edrive40-2026,BMW,i5,2026,eDrive40,sedan,5,84900,CAD,499,epa,83.9,nmc,168,205,30,rwd,250,430,6.0,193,4973,1900,1515,2995,,490,,1500,2205,11,nacs,false,false,,
bmw-i7-xdrive60-2026,BMW,i7,2026,xDrive60,sedan,5,144900,CAD,500,epa,105.7,nmc,211,195,34,awd,400,745,4.7,210,5391,1950,1544,3215,,500,,2000,2640,11,nacs,false,false,,
bmw-ix-xdrive60-2026,BMW,iX,2026,xDrive60,suv,5,132000,CAD,586,epa,111.5,nmc,190,195,32,awd,400,765,4.6,200,4965,1970,1695,3000,,500,,2500,2580,11,nacs,false,false,,
bmw-ix-m70-2026,BMW,iX,2026,M70 xDrive,suv,5,170000,CAD,488,epa,111.5,nmc,228,195,35,awd,485,1100,3.8,250,4965,1970,1695,3000,,500,,2500,2690,11,nacs,false,false,,
bmw-ix3-2026,BMW,iX3,2026,AWD,suv,5,68900,CAD,380,epa,80,nmc,211,150,30,awd,210,400,6.8,180,4734,1891,1668,2864,,510,,,2185,11,nacs,false,false,,
cadillac-lyriq-rwd-2026,Cadillac,LYRIQ,2026,RWD,suv,5,64598,CAD,505,epa,102,nmc,202,190,38,rwd,255,440,6.0,210,4996,1977,1623,3094,,793,,,2100,11.5,nacs,false,false,,
