id,manufacturer,model,model_year,variant,segment,seats,price_local,currency,range_km,range_rating,battery_capacity_kwh,battery_chemistry,efficiency_wh_km,fast_charge_kw,charge_10_80_min,drivetrain,power_kw,torque_nm,acceleration_0_100_s,top_speed_kmh,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,cargo_volume_l,frunk_volume_l,towing_capacity_kg,curb_weight_kg,onboard_charger_kw,charge_port_type,v2l_capable,plug_and_charge,range_city_km,range_highway_km
byd-atto-3-comfort-2023,BYD,Atto 3,2023,Comfort,crossover,5,36990,GBP,420,wltp,60.5,lfp,156,89,38,fwd,150,310,7.3,160,4455,1875,1615,2720,175,440,,,1825,11,ccs,true,,,
byd-atto-3-comfort-2025,BYD,Atto 3,2025,Comfort,crossover,5,37730,GBP,420,wltp,60.5,lfp,156,110,36,fwd,150,310,7.3,160,4455,1875,1615,2720,175,440,,,1825,11,ccs,true,,,
byd-dolphin-active-2024,BYD,Dolphin,2024,Active,hatchback,5,25490,GBP,340,wltp,44.9,lfp,132,60,38,fwd,70,180,12.3,150,4290,1770,1570,2700,130,345,,,1650,7,ccs,true,,,
byd-dolphin-comfort-2024,BYD,Dolphin,2024,Comfort,hatchback,5,29490,GBP,427,wltp,60.4,lfp,145,88,41,fwd,150,310,7.0,160,4290,1770,1570,2700,130,345,,,1733,11,ccs,true,,,
byd-dolphin-comfort-2026,BYD,Dolphin,2026,Comfort,hatchback,5,30220,GBP,427,wltp,60.4,lfp,145,88,41,fwd,150,310,7.0,160,4290,1770,1570,2700,130,345,,,1733,11,ccs,true,,,
byd-seal-design-2024,BYD,Seal,2024,Design RWD,sedan,5,45695,GBP,570,wltp,82.5,lfp,174,150,36,rwd,230,360,5.9,180,4800,1875,1460,2920,150,400,53,,2130,11,ccs,true,,,
byd-seal-excellence-2024,BYD,Seal,2024,Excellence AWD,sedan,5,48695,GBP,520,wltp,82.5,lfp,186,150,36,awd,390,670,3.8,180,4800,1875,1460,2920,150,400,53,,2260,11,ccs,true,,,
byd-seal-design-2026,BYD,Seal,2026,Design RWD,sedan,5,45730,GBP,570,wltp,82.5,lfp,174,150,37,rwd,230,360,5.9,180,4800,1875,1460,2920,150,485,72,,2130,11,ccs,true,,,
byd-seal-excellence-2026,BYD,Seal,2026,Excellence AWD,sedan,5,48730,GBP,520,wltp,82.5,lfp,186,150,37,awd,390,670,3.8,180,4800,1875,1460,2920,150,485,72,,2260,11,ccs,true,,,
byd-sealion-7-comfort-2025,BYD,Sealion 7,2025,Comfort RWD,suv,5,46990,GBP,482,wltp,82.5,lfp,194,150,32,rwd,230,380,6.7,215,4830,1925,1620,2930,163,520,,,2225,11,ccs,true,,,
byd-sealion-7-design-2025,BYD,Sealion 7,2025,Design AWD,suv,5,51990,GBP,456,wltp,82.5,lfp,204,150,32,awd,390,690,4.5,215,4830,1925,1620,2930,163,520,,,2340,11,ccs,true,,,
byd-sealion-7-excellence-2025,BYD,Sealion 7,2025,Excellence AWD,suv,5,58990,GBP,502,wltp,91.3,lfp,219,230,24,awd,390,690,4.5,215,4830,1925,1620,2930,163,520,,,2435,11,ccs,true,,,
