id,manufacturer,model,model_year,variant,segment,seats,price_local,currency,range_km,range_rating,battery_capacity_kwh,battery_chemistry,efficiency_wh_km,fast_charge_kw,charge_10_80_min,drivetrain,power_kw,torque_nm,acceleration_0_100_s,top_speed_kmh,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,cargo_volume_l,frunk_volume_l,towing_capacity_kg,curb_weight_kg,onboard_charger_kw,charge_port_type,v2l_capable,plug_and_charge,range_city_km,range_highway_km
tesla-model-3-std-rwd-2026,Tesla,Model 3,2026,Standard Range RWD,sedan,5,36990,USD,517,epa,62.5,lfp,152,225,25,rwd,194,240,6.1,201,4720,1848,1442,2875,138,594,88,,1705,7.7,nacs,false,true,,
tesla-model-3-lr-rwd-2026,Tesla,Model 3,2026,Long Range RWD,sedan,5,42490,USD,584,epa,77.8,nca,155,250,25,rwd,194,240,5.2,201,4720,1848,1442,2875,138,594,88,,1823,11.5,nacs,false,true,,
tesla-model-3-lr-awd-2026,Tesla,Model 3,2026,Long Range AWD,sedan,5,47490,USD,557,epa,82.1,nca,162,250,25,awd,331,559,4.5,201,4720,1848,1442,2875,138,594,88,,1851,11.5,nacs,false,true,,
tesla-model-3-performance-2026,Tesla,Model 3,2026,Performance AWD,sedan,5,54990,USD,497,epa,82.1,nca,186,250,22,awd,380,678,3.2,260,4724,1848,1440,2875,128,594,88,,1851,11.5,nacs,false,true,,
tesla-model-y-std-rwd-2026,Tesla,Model Y,2026,Standard Range RWD,suv,5,39990,USD,517,epa,60,lfp,152,225,25,rwd,220,420,7.1,201,4797,1920,1621,2890,164,822,116,,1906,7.7,nacs,false,true,,
tesla-model-y-std-awd-2026,Tesla,Model Y,2026,Standard Range AWD,suv,5,41990,USD,473,epa,60,lfp,162,225,25,awd,240,420,6.3,201,4797,1920,1621,2890,164,822,116,,1950,7.7,nacs,false,true,,
tesla-model-y-lr-rwd-2026,Tesla,Model Y,2026,Long Range RWD,suv,5,44990,USD,575,epa,78.4,nca,155,250,25,rwd,220,410,5.7,201,4790,1920,1624,2890,167,822,116,1588,1901,11.5,nacs,false,true,,
tesla-model-y-lr-awd-2026,Tesla,Model Y,2026,Long Range AWD,suv,5,48990,USD,526,epa,78.4,nca,168,250,25,awd,331,559,4.9,201,4790,1920,1624,2890,167,822,116,1588,1994,11.5,nacs,false,true,,
tesla-model-y-performance-2026,Tesla,Model Y,2026,Performance AWD,suv,5,57490,USD,492,epa,84,nmc,199,250,20,awd,461,741,3.6,250,4796,1921,1610,2890,152,854,117,1588,2033,11,nacs,true,true,,
tesla-model-s-2026,Tesla,Model S,2026,Long Range AWD,sedan,5,94990,USD,660,epa,95,nca,168,250,30,awd,504,755,3.4,250,5021,1987,1431,2960,140,709,89,1600,2167,11,nacs,false,true,,
